id_guru,id_madrasah,jenis_kelamin,usia,kualifikasi,pengalaman_tahun,sertifikasi,skor_literasi_digital,jam_mengajar_per_minggu
GR000001,MDR00001,P,25,S1 PAI,0,0,77.5,23
GR000002,MDR00001,L,32,S1 PAI,8,1,63.2,28
GR000003,MDR00001,P,36,S1 PAI,12,0,69.0,27
GR000004,MDR00002,P,34,S1 PAI,7,0,53.7,15
GR000005,MDR00002,P,29,S2 PAI,5,1,68.1,28
GR000006,MDR00002,P,34,S1 PAI,7,0,46.1,23
GR000007,MDR00002,P,26,S1 Non-PAI,2,1,61.8,29
GR000008,MDR00002,P,27,S1 PAI,1,0,66.8,18
GR000009,MDR00003,L,33,S1 Non-PAI,9,1,56.0,29
GR000010,MDR00004,P,23,D3/Lainnya,0,0,72.0,27
GR000011,MDR00004,L,41,S2 PAI,15,1,73.9,24
GR000012,MDR00004,L,43,S1 PAI,17,0,74.9,27
GR000013,MDR00004,L,31,S1 Non-PAI,6,1,69.7,22
GR000014,MDR00005,L,37,S1 Non-PAI,11,1,58.0,20
GR000015,MDR00005,L,33,S2 PAI,5,1,64.2,26
GR000016,MDR00005,L,25,S1 PAI,2,0,53.0,28
GR000017,MDR00005,P,38,S1 PAI,12,1,69.9,31
GR000018,MDR00006,L,23,S1 PAI,0,0,64.3,17
GR000019,MDR00006,P,35,D3/Lainnya,9,0,54.8,20
GR000020,MDR00006,L,37,S2 Non-PAI,12,0,63.7,26
GR000021,MDR00006,P,30,S1 PAI,2,0,62.8,25
GR000022,MDR00007,P,23,S1 PAI,0,1,73.0,29
GR000023,MDR00007,L,35,S2 PAI,9,1,71.5,25
GR000024,MDR00007,L,48,S1 PAI,22,1,64.7,29
GR000025,MDR00008,P,54,D3/Lainnya,28,0,56.6,18
GR000026,MDR00008,L,39,S2 Non-PAI,11,0,64.5,22
GR000027,MDR00008,P,35,S1 Non-PAI,9,0,63.7,23
GR000028,MDR00009,L,31,S1 Non-PAI,8,1,62.8,15
GR000029,MDR00009,L,34,S2 Non-PAI,10,0,62.8,26
GR000030,MDR00010,P,29,S1 PAI,3,1,58.5,25
GR000031,MDR00010,P,33,S1 PAI,6,1,57.0,18
GR000032,MDR00011,P,42,S1 PAI,18,0,69.1,23
GR000033,MDR00012,L,57,S2 PAI,33,0,49.5,24
GR000034,MDR00012,P,35,S2 Non-PAI,12,1,70.6,22
GR000035,MDR00012,P,32,S2 Non-PAI,5,0,59.7,23
GR000036,MDR00012,L,48,S1 PAI,24,0,51.5,34
GR000037,MDR00012,L,31,D3/Lainnya,7,1,54.4,24
GR000038,MDR00012,P,49,S1 Non-PAI,24,0,52.9,27
GR000039,MDR00013,L,31,S1 PAI,8,0,67.5,18
GR000040,MDR00013,P,35,S1 PAI,9,0,69.0,21
GR000041,MDR00013,P,46,S2 Non-PAI,18,0,64.0,16
GR000042,MDR00013,L,49,S1 PAI,24,0,79.9,19
GR000043,MDR00013,P,48,S1 PAI,20,1,58.4,19
GR000044,MDR00014,P,38,S2 Non-PAI,15,0,71.4,22
GR000045,MDR00015,P,41,D3/Lainnya,17,0,50.9,23
GR000046,MDR00015,L,48,S1 PAI,20,1,52.0,31
GR000047,MDR00015,P,46,S1 PAI,23,0,74.8,30
GR000048,MDR00016,P,34,S1 PAI,10,0,56.5,33
GR000049,MDR00017,L,40,S1 PAI,15,1,57.1,28
GR000050,MDR00017,L,23,S1 PAI,0,1,54.2,27
GR000051,MDR00017,P,37,S1 PAI,10,1,67.8,20
GR000052,MDR00017,P,50,S1 Non-PAI,24,1,64.7,20
GR000053,MDR00018,P,33,S1 PAI,6,1,43.4,24
GR000054,MDR00018,P,41,S1 PAI,14,1,59.8,25
GR000055,MDR00018,L,30,S1 PAI,4,1,55.8,18
GR000056,MDR00019,L,38,S1 Non-PAI,15,1,67.8,16
GR000057,MDR00019,P,38,S1 PAI,14,0,79.4,24
GR000058,MDR00019,P,35,S2 PAI,7,1,71.2,24
GR000059,MDR00020,P,33,S2 PAI,10,0,68.3,17
GR000060,MDR00020,L,37,S2 PAI,12,1,58.9,14
GR000061,MDR00020,L,37,S1 Non-PAI,10,1,43.7,28
GR000062,MDR00020,L,28,S1 PAI,4,0,64.9,20
GR000063,MDR00021,P,41,S1 Non-PAI,14,0,55.4,26
GR000064,MDR00021,L,42,S1 PAI,19,1,47.7,28
GR000065,MDR00022,L,45,S1 PAI,17,1,50.7,23
GR000066,MDR00022,P,43,D3/Lainnya,19,1,52.0,21
GR000067,MDR00023,L,37,S1 Non-PAI,9,1,33.1,24
GR000068,MDR00023,P,34,S1 PAI,8,1,57.5,27
GR000069,MDR00023,P,43,S1 PAI,15,1,49.5,19
GR000070,MDR00024,L,52,S1 PAI,29,1,54.2,23
GR000071,MDR00024,P,29,S1 Non-PAI,4,0,56.3,24
GR000072,MDR00025,P,44,S1 PAI,17,0,45.1,23
GR000073,MDR00025,L,36,S2 PAI,11,0,70.3,23
GR000074,MDR00026,P,55,S1 Non-PAI,31,1,60.0,21
GR000075,MDR00026,P,36,S1 PAI,10,1,80.0,27
GR000076,MDR00027,P,33,S1 PAI,8,1,51.4,25
GR000077,MDR00027,L,56,D3/Lainnya,29,0,38.8,21
GR000078,MDR00027,L,45,S1 PAI,22,1,59.4,27
GR000079,MDR00027,L,48,S1 PAI,23,0,53.4,27
GR000080,MDR00028,L,44,S1 PAI,20,0,43.9,26
