id_madrasah,nama,jenjang,status,provinsi,daerah,akreditasi,jumlah_siswa,jumlah_guru,rasio_siswa_guru,persen_guru_sertifikasi,akses_internet_mbps,perpustakaan,lab_komputer,rata_nilai_pai
MDR00001,MMI DKI 0001,MI,Swasta,DKI Jakarta,Perkotaan,C,154,12,12.83,36.5,53.1,1,0,76.9
MDR00002,MMI Lampung 0002,MI,Negeri,Lampung,Pedesaan,A,297,19,15.63,75.2,4.0,1,0,78.8
MDR00003,MMA NTB 0003,MA,Swasta,NTB,Pedesaan,A,151,8,18.88,64.4,12.1,1,1,74.1
MDR00004,MMTs Sulawesi 0004,MTs,Swasta,Sulawesi Selatan,Perkotaan,B,276,19,14.53,62.3,51.6,1,0,72.7
MDR00005,MMI DI 0005,MI,Swasta,DI Yogyakarta,Pedesaan,B,241,19,12.68,37.9,12.6,1,1,70.8
MDR00006,MMTs Aceh 0006,MTs,Swasta,Aceh,Perkotaan,Belum Terakreditasi,294,14,21.0,14.9,18.1,0,1,62.1
MDR00007,MMI Sumatera 0007,MI,Swasta,Sumatera Utara,Perkotaan,B,243,12,20.25,37.2,25.4,0,0,75.8
MDR00008,MMA Sumatera 0008,MA,Swasta,Sumatera Utara,Pedesaan,Belum Terakreditasi,206,12,17.17,36.2,6.9,0,0,67.8
MDR00009,MMI Sumatera 0009,MI,Swasta,Sumatera Barat,Pedesaan,A,134,6,22.33,67.6,19.9,1,1,77.4
MDR00010,MMI Kalimantan 0010,MI,Swasta,Kalimantan Selatan,Pedesaan,B,164,9,18.22,45.1,2.5,1,1,65.4
MDR00011,MMI Kalimantan 0011,MI,Swasta,Kalimantan Selatan,Perkotaan,C,129,6,21.5,28.2,68.0,0,0,72.2
MDR00012,MMTs Riau 0012,MTs,Swasta,Riau,Pedesaan,C,366,19,19.26,38.4,10.8,1,0,67.1
MDR00013,MMTs Banten 0013,MTs,Swasta,Banten,Perkotaan,B,235,16,14.69,30.8,76.8,1,0,78.8
MDR00014,MMI NTB 0014,MI,Swasta,NTB,Perkotaan,Belum Terakreditasi,143,7,20.43,23.0,39.6,1,1,61.0
MDR00015,MMI Jawa 0015,MI,Swasta,Jawa Tengah,Perkotaan,A,265,12,22.08,52.7,24.6,1,0,76.7
MDR00016,MMI Bali 0016,MI,Swasta,Bali,Pedesaan,B,141,7,20.14,30.8,18.9,1,0,71.8
MDR00017,MMI Jawa 0017,MI,Swasta,Jawa Timur,Pedesaan,A,258,13,19.85,54.2,6.8,1,1,74.7
MDR00018,MMI Banten 0018,MI,Swasta,Banten,3T,C,107,10,10.7,47.4,4.8,1,0,65.5
MDR00019,MMI Jambi 0019,MI,Swasta,Jambi,Perkotaan,A,187,12,15.58,62.6,14.5,1,1,82.5
MDR00020,MMI Sumatera 0020,MI,Negeri,Sumatera Selatan,Pedesaan,A,358,17,21.06,77.9,13.2,1,1,82.9
MDR00021,MMI Jawa 0021,MI,Negeri,Jawa Tengah,3T,B,88,8,11.0,59.5,2.4,1,0,75.0
MDR00022,MMA Sumatera 0022,MA,Swasta,Sumatera Selatan,3T,A,96,7,13.71,62.6,1.9,1,1,71.1
MDR00023,MMTs NTB 0023,MTs,Swasta,NTB,3T,B,102,10,10.2,56.8,0.0,1,0,59.2
MDR00024,MMI Sulawesi 0024,MI,Swasta,Sulawesi Selatan,Perkotaan,B,185,10,18.5,45.4,33.9,1,1,81.4
MDR00025,MMA Kalimantan 0025,MA,Swasta,Kalimantan Selatan,Pedesaan,B,211,10,21.1,53.0,13.1,1,0,72.6
MDR00026,MMI Sulawesi 0026,MI,Swasta,Sulawesi Selatan,Perkotaan,A,187,9,20.78,61.8,47.1,1,0,80.4
MDR00027,MMI Jambi 0027,MI,Negeri,Jambi,Pedesaan,B,263,18,14.61,68.8,13.6,1,1,80.4
MDR00028,MMI Sulawesi 0028,MI,Swasta,Sulawesi Selatan,3T,A,60,5,12.0,45.3,3.1,1,1,81.0
MDR00029,MMI NTB 0029,MI,Swasta,NTB,Pedesaan,A,159,9,17.67,69.1,2.8,1,1,72.2
MDR00030,MMTs Sumatera 0030,MTs,Swasta,Sumatera Utara,Pedesaan,A,297,20,14.85,61.6,14.7,1,1,76.3
MDR00031,MMI Jawa 0031,MI,Negeri,Jawa Timur,Perkotaan,A,198,14,14.14,91.9,56.2,1,1,88.5
MDR00032,MMI Jawa 0032,MI,Swasta,Jawa Tengah,3T,A,78,6,13.0,56.3,4.3,1,0,72.9
MDR00033,MMTs Banten 0033,MTs,Swasta,Banten,Pedesaan,B,312,15,20.8,55.7,18.9,1,1,71.0
MDR00034,MMI NTB 0034,MI,Swasta,NTB,Perkotaan,C,265,21,12.62,30.9,39.8,0,0,73.5
MDR00035,MMA Sulawesi 0035,MA,Swasta,Sulawesi Selatan,Perkotaan,C,302,16,18.88,55.5,18.5,1,0,75.6
MDR00036,MMI Jawa 0036,MI,Swasta,Jawa Barat,Pedesaan,C,149,8,18.62,23.3,3.4,0,1,71.1
MDR00037,MMI Lampung 0037,MI,Swasta,Lampung,Pedesaan,Belum Terakreditasi,173,12,14.42,31.6,12.2,0,0,58.6
MDR00038,MMTs Sumatera 0038,MTs,Swasta,Sumatera Utara,Pedesaan,B,207,11,18.82,47.1,5.2,1,1,77.2
MDR00039,MMTs Banten 0039,MTs,Swasta,Banten,Perkotaan,B,312,14,22.29,40.4,79.2,1,0,80.4
MDR00040,MMI Banten 0040,MI,Swasta,Banten,3T,C,111,10,11.1,42.8,0.8,1,0,58.5
MDR00041,MMI Banten 0041,MI,Swasta,Banten,Pedesaan,C,217,11,19.73,42.5,19.5,0,0,65.8
MDR00042,MMTs Sumatera 0042,MTs,Swasta,Sumatera Selatan,Perkotaan,C,211,16,13.19,31.3,10.7,1,0,69.8
MDR00043,MMA NTB 0043,MA,Swasta,NTB,Pedesaan,B,109,6,18.17,54.2,2.2,1,0,74.1
MDR00044,MMTs Jawa 0044,MTs,Negeri,Jawa Tengah,Perkotaan,B,542,41,13.22,64.8,77.8,1,1,76.5
MDR00045,MMTs Jawa 0045,MTs,Swasta,Jawa Timur,Perkotaan,B,329,18,18.28,59.7,73.5,1,0,73.1
MDR00046,MMI Jawa 0046,MI,Swasta,Jawa Tengah,Pedesaan,C,139,9,15.44,41.5,12.4,1,0,65.0
MDR00047,MMI Sulawesi 0047,MI,Swasta,Sulawesi Selatan,Perkotaan,C,198,12,16.5,43.3,15.5,0,0,70.1
MDR00048,MMA Jambi 0048,MA,Swasta,Jambi,Perkotaan,B,219,10,21.9,26.9,63.5,1,0,69.7
MDR00049,MMI Sumatera 0049,MI,Swasta,Sumatera Selatan,Perkotaan,Belum Terakreditasi,188,10,18.8,24.7,29.9,1,0,68.0
MDR00050,MMA Jawa 0050,MA,Swasta,Jawa Barat,Perkotaan,B,302,17,17.76,47.6,33.8,1,0,70.4
MDR00051,MMI Sulawesi 0051,MI,Swasta,Sulawesi Selatan,Pedesaan,C,147,10,14.7,31.6,8.7,0,0,69.5
MDR00052,MMI Jawa 0052,MI,Negeri,Jawa Timur,Pedesaan,C,248,20,12.4,63.7,2.4,1,0,80.4
MDR00053,MMTs Sumatera 0053,MTs,Negeri,Sumatera Barat,Pedesaan,A,272,22,12.36,76.2,7.9,1,1,86.0
MDR00054,MMTs Jambi 0054,MTs,Negeri,Jambi,Pedesaan,Belum Terakreditasi,496,41,12.1,45.8,13.8,1,0,70.1
MDR00055,MMI Jawa 0055,MI,Negeri,Jawa Barat,3T,A,152,15,10.13,68.6,2.1,1,1,77.5
MDR00056,MMTs Bali 0056,MTs,Swasta,Bali,Pedesaan,A,346,22,15.73,75.0,14.4,0,0,79.3
MDR00057,MMI Banten 0057,MI,Swasta,Banten,Pedesaan,B,99,5,19.8,35.6,14.7,0,0,78.5
MDR00058,MMI Riau 0058,MI,Swasta,Riau,Perkotaan,C,145,8,18.12,24.5,40.0,1,1,74.2
MDR00059,MMTs DI 0059,MTs,Swasta,DI Yogyakarta,3T,B,99,12,8.25,45.0,1.7,1,0,70.7
MDR00060,MMTs Bali 0060,MTs,Swasta,Bali,Pedesaan,C,260,16,16.25,36.2,15.7,0,0,59.6
MDR00061,MMI Banten 0061,MI,Swasta,Banten,Pedesaan,B,185,12,15.42,51.1,11.2,1,1,70.3
MDR00062,MMTs Jawa 0062,MTs,Swasta,Jawa Timur,Pedesaan,B,205,14,14.64,43.1,15.6,1,1,73.7
MDR00063,MMTs NTB 0063,MTs,Swasta,NTB,Perkotaan,A,222,11,20.18,55.8,65.7,1,1,79.3
MDR00064,MMTs Riau 0064,MTs,Swasta,Riau,Perkotaan,C,200,11,18.18,46.1,32.4,1,0,73.2
MDR00065,MMI Banten 0065,MI,Swasta,Banten,Pedesaan,B,147,11,13.36,49.1,2.2,1,0,72.4
MDR00066,MMI NTB 0066,MI,Swasta,NTB,3T,C,41,4,10.25,37.5,4.1,1,0,70.0
MDR00067,MMI DI 0067,MI,Negeri,DI Yogyakarta,Perkotaan,C,175,10,17.5,65.9,52.8,1,1,76.9
MDR00068,MMA Jawa 0068,MA,Swasta,Jawa Tengah,Perkotaan,B,275,20,13.75,23.7,41.8,1,1,75.1
MDR00069,MMI Jawa 0069,MI,Swasta,Jawa Tengah,3T,Belum Terakreditasi,126,10,12.6,32.8,2.1,0,0,71.0
MDR00070,MMTs DKI 0070,MTs,Swasta,DKI Jakarta,3T,C,130,11,11.82,43.5,3.8,0,1,68.0
MDR00071,MMTs Sumatera 0071,MTs,Swasta,Sumatera Utara,Pedesaan,B,142,9,15.78,40.2,15.6,1,1,63.9
MDR00072,MMI Sulawesi 0072,MI,Swasta,Sulawesi Selatan,Perkotaan,B,181,12,15.08,50.2,46.8,1,1,79.4
MDR00073,MMI Bali 0073,MI,Negeri,Bali,Pedesaan,C,136,8,17.0,61.9,18.2,0,1,71.2
MDR00074,MMI Riau 0074,MI,Swasta,Riau,Pedesaan,A,151,7,21.57,47.7,16.5,1,0,77.8
MDR00075,MMI Jawa 0075,MI,Swasta,Jawa Tengah,Perkotaan,B,173,9,19.22,39.7,33.8,0,0,77.1
MDR00076,MMA NTB 0076,MA,Swasta,NTB,3T,B,93,10,9.3,38.2,2.9,1,0,61.3
MDR00077,MMTs Jawa 0077,MTs,Swasta,Jawa Timur,Pedesaan,Belum Terakreditasi,295,19,15.53,22.7,6.3,0,0,57.1
MDR00078,MMTs Aceh 0078,MTs,Swasta,Aceh,3T,B,157,12,13.08,42.0,3.8,1,0,73.1
MDR00079,MMTs Banten 0079,MTs,Swasta,Banten,Pedesaan,C,274,15,18.27,34.9,11.2,1,0,64.5
MDR00080,MMI Jambi 0080,MI,Swasta,Jambi,Perkotaan,C,192,12,16.0,29.2,77.5,1,0,74.1
MDR00081,MMI DI 0081,MI,Swasta,DI Yogyakarta,Pedesaan,B,279,18,15.5,51.3,18.4,1,0,73.0
MDR00082,MMTs DI 0082,MTs,Swasta,DI Yogyakarta,Perkotaan,B,235,12,19.58,37.3,78.8,1,0,78.6
MDR00083,MMI Banten 0083,MI,Swasta,Banten,Perkotaan,Belum Terakreditasi,184,15,12.27,30.5,14.8,1,0,63.8
MDR00084,MMI Sumatera 0084,MI,Swasta,Sumatera Selatan,3T,A,87,10,8.7,53.4,2.1,1,1,72.6
MDR00085,MMI Jambi 0085,MI,Negeri,Jambi,Pedesaan,B,304,17,17.88,60.4,4.7,1,0,69.6
MDR00086,MMTs Jawa 0086,MTs,Swasta,Jawa Barat,Perkotaan,C,357,27,13.22,27.5,49.8,1,0,70.0
MDR00087,MMI Sumatera 0087,MI,Swasta,Sumatera Utara,Pedesaan,B,48,4,12.0,44.4,6.8,0,0,74.3
MDR00088,MMA Banten 0088,MA,Swasta,Banten,3T,B,110,12,9.17,55.2,4.2,1,1,75.9
MDR00089,MMI Sulawesi 0089,MI,Swasta,Sulawesi Selatan,Perkotaan,C,165,11,15.0,25.6,71.1,0,0,73.4
MDR00090,MMI Lampung 0090,MI,Swasta,Lampung,Pedesaan,B,198,15,13.2,46.3,19.1,0,0,76.3
MDR00091,MMI Sumatera 0091,MI,Swasta,Sumatera Selatan,Pedesaan,C,260,12,21.67,23.5,16.4,0,0,69.2
MDR00092,MMA NTB 0092,MA,Swasta,NTB,Perkotaan,C,80,5,16.0,33.9,45.0,0,0,72.2
MDR00093,MMA Sulawesi 0093,MA,Swasta,Sulawesi Selatan,Perkotaan,B,192,10,19.2,47.2,24.7,1,0,69.8
MDR00094,MMTs Jawa 0094,MTs,Swasta,Jawa Tengah,Perkotaan,C,319,20,15.95,29.6,74.7,1,0,67.6
MDR00095,MMTs Aceh 0095,MTs,Swasta,Aceh,Pedesaan,B,215,13,16.54,45.0,8.0,1,1,71.4
MDR00096,MMA DKI 0096,MA,Swasta,DKI Jakarta,Pedesaan,B,262,15,17.47,31.5,12.6,1,0,84.5
MDR00097,MMI Banten 0097,MI,Swasta,Banten,Pedesaan,C,187,11,17.0,41.3,12.4,1,0,73.6
MDR00098,MMTs Jambi 0098,MTs,Swasta,Jambi,Perkotaan,B,250,13,19.23,32.6,43.8,1,0,75.2
MDR00099,MMTs Jambi 0099,MTs,Swasta,Jambi,Pedesaan,A,149,9,16.56,52.7,6.1,1,1,73.8
MDR00100,MMTs NTB 0100,MTs,Swasta,NTB,3T,B,166,16,10.38,54.5,1.9,1,0,70.8
MDR00101,MMTs DI 0101,MTs,Swasta,DI Yogyakarta,Pedesaan,B,256,18,14.22,54.8,6.4,1,1,76.2
MDR00102,MMI Sulawesi 0102,MI,Swasta,Sulawesi Selatan,Perkotaan,B,246,12,20.5,39.4,48.0,1,1,74.3
MDR00103,MMI Lampung 0103,MI,Negeri,Lampung,Perkotaan,A,273,18,15.17,89.9,70.6,1,0,91.3
MDR00104,MMI Jambi 0104,MI,Negeri,Jambi,Perkotaan,A,219,18,12.17,74.2,47.3,1,1,78.0
MDR00105,MMI Riau 0105,MI,Negeri,Riau,Perkotaan,B,305,21,14.52,70.7,23.7,1,0,78.6
MDR00106,MMI Jawa 0106,MI,Swasta,Jawa Timur,Perkotaan,B,78,6,13.0,33.6,40.9,1,1,72.1
MDR00107,MMI Aceh 0107,MI,Swasta,Aceh,Perkotaan,C,71,4,17.75,29.4,64.4,1,1,76.5
MDR00108,MMTs Jawa 0108,MTs,Swasta,Jawa Tengah,Pedesaan,C,317,16,19.81,28.1,4.3,1,0,62.0
MDR00109,MMI Jawa 0109,MI,Swasta,Jawa Timur,Perkotaan,C,274,19,14.42,29.3,43.2,0,0,69.5
MDR00110,MMA Jawa 0110,MA,Swasta,Jawa Timur,Perkotaan,B,182,11,16.55,42.1,17.7,1,1,70.3
MDR00111,MMI Sumatera 0111,MI,Swasta,Sumatera Utara,Pedesaan,B,237,16,14.81,30.6,6.6,1,0,68.0
MDR00112,MMI Banten 0112,MI,Swasta,Banten,Perkotaan,A,105,6,17.5,76.5,57.1,1,0,83.9
MDR00113,MMTs Jambi 0113,MTs,Negeri,Jambi,Pedesaan,B,458,25,18.32,70.8,11.2,1,1,78.2
MDR00114,MMTs DKI 0114,MTs,Swasta,DKI Jakarta,Pedesaan,B,109,5,21.8,38.2,18.3,1,1,71.7
MDR00115,MMI Riau 0115,MI,Swasta,Riau,Perkotaan,B,110,7,15.71,55.1,34.4,1,1,71.3
MDR00116,MMA Sumatera 0116,MA,Negeri,Sumatera Selatan,Perkotaan,B,333,18,18.5,71.1,63.3,1,0,84.9
