id_madrasah,kelas,rumpun_pai,rata_nilai,persen_tuntas,n_siswa
MDR00001,1,Akidah-Akhlak,80.5,97.4,24
MDR00001,1,Fikih,79.2,100,23
MDR00001,1,SKI,75.9,98.3,22
MDR00001,1,Quran-Hadis,79.5,97.0,25
MDR00001,1,Bahasa Arab,76.0,92.5,28
MDR00001,2,Akidah-Akhlak,74.6,89.0,22
MDR00001,2,Fikih,78.0,98.3,28
MDR00001,2,SKI,71.2,85.7,28
MDR00001,2,Quran-Hadis,76.0,94.4,23
MDR00001,2,Bahasa Arab,71.0,72.4,22
MDR00001,3,Akidah-Akhlak,74.6,87.2,23
MDR00001,3,Fikih,70.6,71.0,25
MDR00001,3,SKI,72.0,71.7,22
MDR00001,3,Quran-Hadis,74.7,89.9,24
MDR00001,3,Bahasa Arab,78.9,90.7,29
MDR00001,4,Akidah-Akhlak,77.1,90.3,28
MDR00001,4,Fikih,78.8,91.6,22
MDR00001,4,SKI,76.0,91.2,28
MDR00001,4,Quran-Hadis,82.2,99.8,25
MDR00001,4,Bahasa Arab,75.7,88.8,22
MDR00001,5,Akidah-Akhlak,78.5,94.0,29
MDR00001,5,Fikih,71.9,78.2,27
MDR00001,5,SKI,74.0,83.3,24
MDR00001,5,Quran-Hadis,75.5,90.5,27
MDR00001,5,Bahasa Arab,78.5,100,24
MDR00001,6,Akidah-Akhlak,80.9,100,22
MDR00001,6,Fikih,75.2,90.9,21
MDR00001,6,SKI,77.4,90.0,26
MDR00001,6,Quran-Hadis,75.1,86.6,22
MDR00001,6,Bahasa Arab,74.0,79.2,25
MDR00002,1,Akidah-Akhlak,81.2,100,48
MDR00002,1,Fikih,79.2,95.5,44
MDR00002,1,SKI,79.8,100,48
MDR00002,1,Quran-Hadis,83.3,95.0,46
MDR00002,1,Bahasa Arab,79.1,99.1,54
MDR00002,2,Akidah-Akhlak,81.2,98.0,45
MDR00002,2,Fikih,78.4,95.0,43
MDR00002,2,SKI,79.7,100,45
MDR00002,2,Quran-Hadis,79.5,100,49
